cores,TestSizePre,TestSizeMain,time write,goToStart write,lostTime write,time mixed,goToStart mixed,lostTime mixed,time check,goToStart check,lostTime check
4,20000,40000,1363,16,0.000149,3708,5,0.000966,2492,0,0
4,20000,40000,1393,28,0.000437,3815,1,0.000154,2513,0,0
4,20000,40000,1408,14,0.000187,3739,3,0.000617,2519,0,0
8,20000,40000,707,39,0.000564,2096,8,0.001344,1408,0,0
8,20000,40000,713,43,0.001131,2076,9,0.001204,1395,0,0
8,20000,40000,691,40,0.00048,2100,13,0.002281,1419,0,0
8,20000,40000,691,34,0.0005,2099,8,0.00128,1411,0,0
8,20000,40000,764,46,0.000754,2203,17,0.003326,1483,0,0
8,20000,40000,713,40,0.000773,2096,14,0.002291,1403,0,0
8,20000,40000,731,39,0.000825,2085,15,0.002845,1402,0,0
8,20000,40000,706,44,0.001295,2152,15,0.002777,1455,0,0
8,20000,40000,699,49,0.000959,2113,10,0.001708,1417,0,0
8,20000,40000,715,47,0.000669,2097,12,0.002056,1403,0,0
16,20000,40000,476,96,0.002492,1402,26,0.006597,956,0,0
16,20000,40000,481,112,0.00285,1395,24,0.005885,946,0,0
16,20000,40000,479,112,0.003997,1403,25,0.005857,952,0,0
16,20000,40000,473,82,0.001604,1405,29,0.006206,954,0,0
16,20000,40000,470,77,0.002102,1410,29,0.006175,962,0,0
16,20000,40000,466,84,0.002932,1414,36,0.008288,962,0,0
16,20000,40000,472,85,0.003063,1400,36,0.008569,951,0,0
16,20000,40000,481,99,0.002705,1393,30,0.007608,951,0,0
16,20000,40000,466,76,0.002683,1402,27,0.006459,954,0,0
16,20000,40000,479,79,0.002039,1398,29,0.007184,953,0,0
16,20000,40000,481,101,0.003179,1391,28,0.006785,950,0,0
16,20000,40000,486,85,0.002763,1377,30,0.006776,947,0,0
16,20000,40000,487,98,0.00284,1400,26,0.006262,950,0,0
32,20000,40000,345,185,0.006453,1014,50,0.014382,702,0,0
32,20000,40000,354,195,0.007909,1026,47,0.014146,705,0,0
32,20000,40000,321,197,0.007771,1007,46,0.013043,696,0,0
32,20000,40000,350,178,0.006098,1008,51,0.016223,700,0,0
32,20000,40000,342,201,0.008009,1021,53,0.014662,710,0,0
32,20000,40000,321,174,0.007262,1018,45,0.012818,703,0,0
32,20000,40000,345,173,0.007258,1018,40,0.011196,702,0,0
32,20000,40000,344,182,0.006973,1010,40,0.011301,699,0,0
32,20000,40000,379,202,0.006903,1025,37,0.01132,696,0,0
32,20000,40000,346,179,0.005223,994,49,0.013294,703,0,0
64,20000,40000,243,315,0.013523,638,76,0.024059,442,0,0
64,20000,40000,240,284,0.015008,627,77,0.025342,454,0,0
64,20000,40000,240,291,0.012945,640,82,0.026975,450,0,0
64,20000,40000,227,273,0.014493,625,93,0.031484,450,0,0
64,20000,40000,268,318,0.01331,642,85,0.029204,464,0,0
64,20000,40000,244,274,0.012959,644,85,0.028066,453,0,0
64,20000,40000,271,382,0.01464,666,67,0.021865,456,0,0
64,20000,40000,304,295,0.015162,688,67,0.02386,444,0,0
64,20000,40000,241,290,0.016838,631,70,0.022035,472,0,0
64,20000,40000,287,319,0.016942,630,88,0.029645,432,0,0
1,20000,40000,4136,0,0,14219,0,0,9736,0,0
1,20000,40000,4187,0,0,14263,0,0,9736,0,0
1,20000,40000,4190,0,0,14219,0,0,9706,0,0
1,20000,40000,4153,0,0,14225,0,0,9634,0,0
1,20000,40000,3546,0,0,12514,0,0,8535,0,0
1,20000,40000,4134,0,0,14252,0,0,9738,0,0
4,40000,80000,6427,14,0.000446,17412,4,0.001845,11798,0,0
4,40000,80000,6308,21,0.000565,16811,3,0.001304,11325,0,0
4,40000,80000,6238,20,0.000572,16845,5,0.001921,11481,0,0
4,40000,80000,6349,12,0.000291,17375,5,0.002194,11846,0,0
4,40000,80000,6409,25,0.001242,17432,2,0.000538,11808,0,0
4,40000,80000,6307,20,0.000663,17372,5,0.002216,11850,0,0
4,40000,80000,6237,19,0.000585,16851,0,0,11480,0,0
4,40000,80000,6235,14,0.000852,16677,3,0.001009,11329,0,0
4,40000,80000,6246,7,0.000225,16896,3,0.001424,11499,0,0
4,40000,80000,6291,20,0.001021,16673,3,0.001063,11352,0,0
8,40000,80000,3415,45,0.002668,9501,9,0.003785,6442,0,0
8,40000,80000,3490,48,0.002875,10016,10,0.004107,6722,0,0
8,40000,80000,3425,53,0.002479,9385,12,0.005542,6297,0,0
8,40000,80000,3449,48,0.00239,9413,9,0.003551,6252,0,0
8,40000,80000,3434,41,0.001279,9337,12,0.005808,6236,0,0
8,40000,80000,3465,46,0.001783,9788,7,0.003155,6596,0,0
8,40000,80000,3459,47,0.001334,9347,11,0.004828,6230,0,0
8,40000,80000,3378,41,0.001923,9657,13,0.005485,6475,0,0
8,40000,80000,3412,44,0.002047,9618,8,0.003504,6475,0,0
8,40000,80000,3482,48,0.00249,9807,8,0.003579,6584,0,0
